iter	Logloss
0	0.6339808961
1	0.576660895
2	0.5352679752
3	0.5009386363
4	0.4696271398
5	0.4351597168
6	0.4086172925
7	0.3874055394
8	0.3716793369
9	0.3483602514
10	0.3374190883
11	0.3285245117
12	0.3200605922
13	0.3127223177
14	0.3035496417
15	0.2984123808
16	0.2934181006
17	0.2843484383
18	0.2805402155
19	0.2770231308
20	0.2722594703
21	0.2699806528
22	0.2678318124
23	0.2651706542
24	0.2640253024
25	0.2625690263
26	0.260816853
27	0.2589217389
28	0.25659682
29	0.2555804082
30	0.2540505408
31	0.251493343
32	0.2506046396
33	0.249822056
34	0.2491883882
35	0.2479065071
36	0.2472250533
37	0.2457355995
38	0.2445547073
39	0.2440163067
40	0.2431202149
41	0.2428082072
42	0.2424703912
43	0.2419930832
44	0.2405013886
45	0.2395614604
46	0.2392726948
47	0.2389904418
48	0.2385144351
49	0.2383234589
50	0.2381542291
51	0.2380338072
52	0.2378022468
53	0.2376220233
54	0.2371017139
55	0.2369178557
56	0.2368030115
57	0.2367225141
58	0.2365780666
59	0.2365174784
60	0.2364035307
61	0.2363474023
62	0.2362239586
63	0.2357987525
64	0.2350634203
65	0.2344276212
66	0.2342316288
67	0.2341815812
68	0.2340660249
69	0.2340009128
70	0.2339039287
71	0.2336059454
72	0.2334810788
73	0.2334075411
74	0.2333163776
75	0.2331571297
76	0.2325982063
77	0.2324672742
78	0.2324435122
79	0.2322102171
80	0.2321450184
81	0.2320180609
82	0.23194051
83	0.2318675061
84	0.2312432073
85	0.2310818714
86	0.231003465
87	0.2309850866
88	0.230936305
89	0.2308745589
90	0.230825358
91	0.2307920465
92	0.2306739501
93	0.2306516843
94	0.2303126225
95	0.2302517712
96	0.2301597475
97	0.2301136753
98	0.2299680806
99	0.2297695269
100	0.2297121138
101	0.229640711
102	0.2295976471
103	0.2295671591
104	0.2295215985
105	0.2293232586
106	0.2290269753
107	0.2289865528
108	0.2289552796
109	0.2289342338
110	0.2288779033
111	0.2288327479
112	0.2286608964
113	0.2285887565
114	0.2284933045
115	0.2284343648
116	0.2284174454
117	0.2283680699
118	0.2283057386
119	0.2282645546
120	0.2282296965
121	0.2282147476
122	0.22818271
123	0.2281623412
124	0.2281416108
125	0.2281053683
126	0.2280243637
127	0.2279865947
128	0.2279548774
129	0.2279428529
130	0.2279163016
131	0.2276565062
132	0.2275369595
133	0.2275153685
134	0.2275067987
135	0.2274916335
136	0.2272945029
137	0.2272651023
138	0.2272546001
139	0.2272419365
140	0.2272043099
141	0.2271855945
142	0.2271082541
143	0.2270382756
144	0.2267874719
145	0.2266714919
146	0.226584587
147	0.2265749953
148	0.2265246147
149	0.2265246759
150	0.2264669612
151	0.2264583641
152	0.2264504302
153	0.2264350651
154	0.2264013775
155	0.2263915639
156	0.2263489646
157	0.226343029
158	0.2262656763
159	0.2262487341
160	0.2262419401
161	0.2262355811
162	0.2262317072
163	0.2262251757
164	0.2260371607
165	0.2260178646
166	0.2259865285
167	0.225938683
168	0.2259186747
169	0.225843466
170	0.2257754024
171	0.2257425682
172	0.2256871148
173	0.2256529288
174	0.2256492078
175	0.2256330651
176	0.2256245731
177	0.2254500893
178	0.2254307984
179	0.2252542209
180	0.2251869393
181	0.225168856
182	0.2251463857
183	0.2251295549
184	0.2251177434
185	0.2250422315
186	0.2250189611
187	0.2248812027
188	0.224857723
189	0.2246831429
190	0.224678038
191	0.224655172
192	0.224646987
193	0.2245701332
194	0.2245576233
195	0.2245521607
196	0.2244955218
197	0.2244748564
198	0.2244673991
199	0.2243350847
200	0.2242919144
201	0.2241853455
202	0.2241714619
203	0.2241049084
204	0.2240769814
205	0.22400225
206	0.2238507758
207	0.223790767
208	0.2237463339
209	0.2236966473
210	0.2236766337
211	0.2236500803
212	0.2235968988
213	0.2235882035
214	0.2235059553
215	0.2234966253
216	0.2234833893
217	0.2234564263
218	0.223349358
219	0.2231460247
220	0.223093874
221	0.2230812811
222	0.2230448517
223	0.2230300362
224	0.2230134157
225	0.2228967435
226	0.2228432257
227	0.2226393934
228	0.2226227579
229	0.2226212182
230	0.222577891
231	0.2224922511
232	0.2224868807
233	0.2223583826
234	0.2222946676
235	0.2221749656
236	0.2220876441
237	0.222017808
238	0.2219655983
239	0.2219545393
240	0.2218826411
241	0.2218147139
242	0.2216198763
243	0.2215464068
244	0.2214933754
245	0.2214725911
246	0.221447528
247	0.2213287495
248	0.2213131529
249	0.2212605795
250	0.2212236808
251	0.2211607783
252	0.2211030177
253	0.2210456377
254	0.220996857
255	0.2209313375
256	0.2208555858
257	0.2207824957
258	0.220763534
259	0.2207040693
260	0.2206884384
261	0.2206777067
262	0.2206178985
263	0.2206040776
264	0.2205456091
265	0.220505459
266	0.2204829492
267	0.2204323333
268	0.2204000316
269	0.2203721387
270	0.2202643556
271	0.2202511172
272	0.2202461402
273	0.2202084694
274	0.2201777684
275	0.2201442696
276	0.22013104
277	0.2201022532
278	0.2200544593
279	0.2200411836
280	0.2199929451
281	0.2199487816
282	0.219903245
283	0.2198635336
284	0.2198563973
285	0.2198125659
286	0.2197867392
287	0.2197252093
288	0.2197180914
289	0.2197150544
290	0.2196894768
291	0.2196810476
292	0.2195072159
293	0.2194705746
294	0.2194624182
295	0.2194114973
296	0.2193723436
297	0.2193432727
298	0.2193075784
299	0.2192969661
300	0.2192842138
301	0.2192702636
302	0.2192644673
303	0.2192229738
304	0.2191868358
305	0.2191738889
306	0.2191611431
307	0.219140186
308	0.2191374172
309	0.2191306776
310	0.2190961785
311	0.2190602534
312	0.2190267295
313	0.2189922955
314	0.2189809134
315	0.2189788334
316	0.2189710896
